Author_Year,AMS_Lab,Accession_No,IntChron_ID,Tree_Series,Latitude,Longitude,Site_Location,Country,Event,Species,EW_LW_WW,Extraction_Method,Holocellulose_Alphacellulose,Dating Method,Dated_Year,Age_Corrected_D14C,Age_Corrected_D14C_Error,Fraction_Modern,Fraction_Modern_Error,Calibrated_Age,Calibrated_Age_Error,d13C,Data_Quality,Source,Notes,QC MJ,QC GS
Bard_23,CEREGE,11795.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11796.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11797.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11798.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11800.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11801.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11802.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11804.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11805.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11806.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11807.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11808.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11809.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11811.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11812.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11815.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11816.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11816.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11817.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11818.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11818.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11848.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11848.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11819.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11849.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11820.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11820.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11850.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11821.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11851.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11851.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11822.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11822.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11823.3.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11823.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11823.2.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11823.4.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11824.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11825.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11826.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11827.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11828.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11829.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11830.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11831.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
Bard_23,CEREGE,11832.1.1,NaN,DR313,44.53269444,5.870361111,Drouzet River,France,NaN,Pinus silvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,Wiggle Match,Floating ,,,,,,,,,https://doi.org/10.1098/rsta.2022.0206,,,
