Author_Year,Tree_Series_ID,Dated_Year,Dated_Year_BP,Dating Method,Reported_Data_Type,Age_Corrected_D14C,Age_Corrected_D14C_Error,Fraction_Modern,Fraction_Modern_Error,Radiocarbon_Age,Radiocarbon_Age_Error,d13C,Site_Location_Place_Name,Country,Latitude,Longitude,Elevation,Genus,Species,EW_LW_WW,Extraction_Method,Holocellulose_Alphacellulose,AMS_Lab,Accession_No,IntChron_ID,Data_Quality,Source,Notes,Tech 1,Tech 2,Year 0 Check,Cellulose Type Check
Bard_23,DR313,-12404.5,14353.5,Wiggle Match,14CAge,210.4469,3.734595,1.2104469,0.003734595,12413,30,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11795.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12401.5,14350.5,Wiggle Match,14CAge,212.8731,3.734595,1.2128731,0.003734595,12394,30,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11796.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12399.5,14348.5,Wiggle Match,14CAge,211.3727,3.734595,1.2113727,0.003734595,12402,30,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11797.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12397.5,14346.5,Wiggle Match,14CAge,210.6275,3.734595,1.2106275,0.003734595,12405,30,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11798.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12393.0,14342.0,Wiggle Match,14CAge,209.9687,3.610108,1.2099687,0.003610108,12405,29,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11800.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12390.0,14339.0,Wiggle Match,14CAge,208.4761,3.734595,1.2084761,0.003734595,12412,30,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11801.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12387.5,14336.5,Wiggle Match,14CAge,206.7579,3.610108,1.2067579,0.003610108,12421,29,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11802.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12382.5,14331.5,Wiggle Match,14CAge,199.8885,3.485622,1.1998885,0.003485622,12462,28,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11804.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12380.5,14329.5,Wiggle Match,14CAge,199.7476,3.610108,1.1997476,0.003610108,12461,29,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11805.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
Bard_23,DR313,-12378.5,14327.5,Wiggle Match,14CAge,204.3949,3.485622,1.2043949,0.003485622,12428,28,NaN,Drouzet River,France,44.53269444,5.870361111,860,Pinus,sylvestris,WW,Acid-Base-Acid-Bleach,Holocellulose,CEREGE,11806.1.1,NaN,Good,https://doi.org/10.1098/rsta.2022.0206,Cross dated and then wiggle matched with MCMC scheme - Age v2 Cal BP used,MW,IJ,JM,
